id,value
Natural Science Disciplines.Chemistry.Biochemistry.Immunochemistry,H01.181.122.605
Natural Science Disciplines.Chemistry.Biochemistry.Immunochemistry.Immunohistochemistry,H01.181.122.605.512
Natural Science Disciplines.Chemistry.Biochemistry.Metabolomics,H01.181.122.638
Natural Science Disciplines.Chemistry.Biochemistry.Molecular Biology,H01.181.122.650
Natural Science Disciplines.Chemistry.Biochemistry.Molecular Biology.Molecular Medicine,H01.181.122.650.475
Natural Science Disciplines.Chemistry.Biochemistry.Molecular Biology.Molecular Medicine.Molecular Epidemiology,H01.181.122.650.475.550
"Natural Science Disciplines.Chemistry.Biochemistry.Molecular Biology.Molecular Medicine.Pathology, Molecular",H01.181.122.650.475.680
Natural Science Disciplines.Chemistry.Biochemistry.Neurochemistry,H01.181.122.709
Natural Science Disciplines.Chemistry.Biochemistry.Proteomics,H01.181.122.738
Natural Science Disciplines.Chemistry.Biochemistry.Proteomics.Proteogenomics,H01.181.122.738.500
"Natural Science Disciplines.Chemistry.Chemistry, Agricultural",H01.181.216
"Natural Science Disciplines.Chemistry.Chemistry, Analytic",H01.181.309
"Natural Science Disciplines.Chemistry.Chemistry, Clinical",H01.181.341
"Natural Science Disciplines.Chemistry.Chemistry, Inorganic",H01.181.370
"Natural Science Disciplines.Chemistry.Chemistry, Inorganic.Chemistry, Bioinorganic",H01.181.370.310
"Natural Science Disciplines.Chemistry.Chemistry, Organic",H01.181.404
"Natural Science Disciplines.Chemistry.Chemistry, Pharmaceutical",H01.181.466
"Natural Science Disciplines.Chemistry.Chemistry, Pharmaceutical.Drug Discovery",H01.181.466.675
"Natural Science Disciplines.Chemistry.Chemistry, Pharmaceutical.Drug Discovery.Drug Design",H01.181.466.675.500
"Natural Science Disciplines.Chemistry.Chemistry, Physical",H01.181.529
"Natural Science Disciplines.Chemistry.Chemistry, Physical.Crystallography",H01.181.529.240
"Natural Science Disciplines.Chemistry.Chemistry, Physical.Electrochemistry",H01.181.529.307
"Natural Science Disciplines.Chemistry.Chemistry, Physical.Photochemistry",H01.181.529.711
"Natural Science Disciplines.Chemistry.Chemistry, Physical.Radiochemistry",H01.181.529.776
Natural Science Disciplines.Chemistry.Microchemistry,H01.181.650
Natural Science Disciplines.Earth Sciences,H01.277
Natural Science Disciplines.Earth Sciences.Ecology,H01.277.249
Natural Science Disciplines.Earth Sciences.Ecology.Ecotoxicology,H01.277.249.500
Natural Science Disciplines.Earth Sciences.Ecology.Hydrobiology,H01.277.249.750
Natural Science Disciplines.Earth Sciences.Ecology.Hydrobiology.Freshwater Biology,H01.277.249.750.249
Natural Science Disciplines.Earth Sciences.Ecology.Hydrobiology.Marine Biology,H01.277.249.750.500
Natural Science Disciplines.Earth Sciences.Ecology.Hydrology,H01.277.249.875
Natural Science Disciplines.Earth Sciences.Geography,H01.277.500
"Natural Science Disciplines.Earth Sciences.Geography.Geography, Medical",H01.277.500.097
"Natural Science Disciplines.Earth Sciences.Geography.Geography, Medical.Topography, Medical",H01.277.500.097.500
Natural Science Disciplines.Earth Sciences.Geography.Phylogeography,H01.277.500.589
Natural Science Disciplines.Earth Sciences.Geology,H01.277.562
Natural Science Disciplines.Earth Sciences.Limnology,H01.277.625
Natural Science Disciplines.Earth Sciences.Limnology.Freshwater Biology,H01.277.625.500
Natural Science Disciplines.Earth Sciences.Meteorology,H01.277.687
Natural Science Disciplines.Earth Sciences.Oceanography,H01.277.750
Natural Science Disciplines.Earth Sciences.Oceanography.Marine Biology,H01.277.750.500
Natural Science Disciplines.Earth Sciences.Paleontology,H01.277.875
Natural Science Disciplines.Materials Science,H01.413
Natural Science Disciplines.Mathematics,H01.548
